,Time,Operation,Delay
903,31,Departure,1.0
904,31,Departure,33.0
905,31,Departure,-4.0
906,31,Departure,0.0
907,31,Departure,70.0
908,31,Departure,4.0
909,31,Departure,5.0
910,31,Departure,-6.0
911,31,Departure,1.0
912,31,Departure,57.0
913,31,Departure,3.0
914,31,Departure,-10.0
915,31,Departure,7.0
916,31,Departure,41.0
917,31,Departure,-13.0
918,31,Departure,50.0
919,31,Departure,-2.0
920,31,Departure,-1.0
921,31,Departure,4.0
922,31,Departure,4.0
923,31,Departure,22.0
924,31,Departure,14.0
925,31,Departure,-8.0
926,31,Departure,-4.0
927,31,Departure,13.0
928,31,Departure,2.0
929,31,Departure,12.0
930,32,Departure,6.0
931,32,Departure,-2.0
932,32,Departure,57.0
933,32,Departure,1.0
934,32,Departure,-2.0
935,32,Departure,-5.0
936,32,Departure,-11.0
937,32,Departure,39.0
938,32,Departure,-5.0
939,32,Departure,-2.0
940,32,Departure,-3.0
941,32,Departure,-4.0
942,32,Departure,2.0
943,33,Departure,5.0
944,33,Departure,25.0
945,33,Departure,2.0
946,33,Departure,-5.0
947,33,Departure,3.0
948,33,Departure,1.0
949,33,Departure,10.0
950,33,Departure,-2.0
951,33,Departure,25.0
952,33,Departure,-1.0
953,33,Departure,-4.0
954,33,Departure,2.0
955,33,Departure,-13.0
956,33,Departure,-4.0
957,33,Departure,1.0
958,33,Departure,71.0
959,33,Departure,2.0
960,33,Departure,50.0
961,33,Departure,-4.0
962,33,Departure,5.0
963,33,Departure,68.0
964,33,Departure,0.0
965,33,Departure,1.0
966,34,Departure,99.0
967,34,Departure,-8.0
968,34,Departure,0.0
969,34,Departure,11.0
970,34,Departure,-5.0
971,34,Departure,0.0
972,34,Departure,8.0
973,34,Departure,3.0
974,34,Departure,86.0
975,34,Departure,-4.0
976,34,Departure,6.0
977,34,Departure,15.0
978,34,Departure,21.0
979,34,Departure,-13.0
980,34,Departure,-8.0
981,34,Departure,10.0
982,34,Departure,-5.0
983,34,Departure,34.0
984,34,Departure,5.0
985,34,Departure,1.0
986,34,Departure,27.0
987,34,Departure,28.0
988,34,Departure,-3.0
989,35,Departure,65.0
990,35,Departure,33.0
991,35,Departure,20.0
992,35,Departure,-8.0
993,35,Departure,7.0
994,35,Departure,-3.0
995,35,Departure,-1.0
996,35,Departure,-2.0
997,35,Departure,-2.0
998,35,Departure,-6.0
999,35,Departure,11.0
1000,35,Departure,-2.0
1001,35,Departure,0.0
1002,35,Departure,5.0
1003,35,Departure,23.0
1004,35,Departure,18.0
1005,35,Departure,3.0
1006,35,Departure,0.0
1007,35,Departure,58.0
1008,35,Departure,-4.0
1009,35,Departure,-5.0
1010,35,Departure,17.0
1011,35,Departure,13.0
1012,35,Departure,1.0
1013,35,Departure,0.0
1014,36,Departure,63.0
1015,36,Departure,10.0
1016,36,Departure,20.0
1017,36,Departure,16.0
1018,36,Departure,0.0
1019,36,Departure,-6.0
1020,36,Departure,-4.0
