,City,Operation,Time block,Delay
1163,Hanover,Departure,10,22.0
1164,Granada,Departure,10,-1.0
1165,Lyon,Departure,10,-4.0
1166,Paris,Departure,11,-4.0
1167,Menorca,Departure,11,-4.0
1168,Cagliari,Departure,11,-5.0
1169,Hamburg,Departure,11,105.0
1170,Bilbao,Departure,11,2.0
1171,Malta,Departure,11,-3.0
1172,Sevilla,Departure,11,1.0
1173,Birmingham,Departure,11,-2.0
1174,"Basel, Switzerland / Mulhouse",Departure,11,34.0
1175,Berlin,Departure,11,6.0
1176,Stockholm,Departure,11,18.0
1177,Palma Mallorca,Departure,11,0.0
1178,Amsterdam,Departure,12,-2.0
1179,Malaga,Departure,12,-1.0
1180,Budapest,Departure,12,24.0
1181,Tenerife,Departure,12,54.0
1182,Las Palmas,Departure,12,5.0
1183,Milan,Departure,12,-5.0
1184,Nuremberg,Departure,12,40.0
1185,Lisbon,Departure,12,2.0
1186,Asturias,Departure,12,-2.0
1187,Brussels,Departure,12,5.0
1188,Catania,Departure,12,4.0
1189,Palermo,Departure,12,5.0
1190,Dublin,Departure,12,-4.0
1191,London,Departure,12,-2.0
1192,Dusseldorf,Departure,12,17.0
1193,Ibiza,Departure,12,4.0
1194,Almeria,Departure,12,0.0
1195,Jerez De La Frontera,Departure,12,22.0
1196,Munich,Departure,13,-1.0
1197,Copenhagen,Departure,13,-5.0
1198,Valladolid,Departure,13,1.0
1199,Ibiza,Departure,14,-8.0
1200,Madrid,Departure,14,12.0
1201,Venice,Departure,14,0.0
1202,Paris,Departure,14,28.0
1203,Alicante,Departure,14,17.0
1204,Porto,Departure,14,40.0
1205,Palma Mallorca,Departure,14,0.0
1206,Turin,Departure,14,-4.0
1207,Bologna,Departure,14,-1.0
1208,Milan,Departure,14,-5.0
1209,Rome,Departure,15,0.0
1210,Stuttgart,Departure,15,7.0
1211,Malaga,Departure,15,10.0
1212,Amsterdam,Departure,15,-2.0
1213,La Coruna,Departure,15,1.0
1214,Bilbao,Departure,15,-2.0
1215,Marseille,Departure,15,17.0
1216,Santander,Departure,16,-2.0
1217,Paris,Departure,16,61.0
1218,Geneva,Departure,16,35.0
1219,Palma Mallorca,Departure,16,-3.0
1220,Madrid,Departure,16,0.0
1221,Nice,Departure,16,-1.0
1222,Santiago De Compostela,Departure,16,-1.0
1223,Sevilla,Departure,16,-1.0
1224,Valencia,Departure,16,2.0
1225,San Sebastian,Departure,16,19.0
1226,Ibiza,Departure,16,13.0
1227,Menorca,Departure,17,-6.0
1228,Granada,Departure,17,0.0
1229,Madrid,Departure,17,-6.0
1230,Palma Mallorca,Departure,17,3.0
1231,London,Departure,17,2.0
